[80.260604, 41.168779]
[79.922211, 37.114157]
[121.480237, 31.236305]
[113.758231, 23.026997]
[118.588614, 37.454925]
[113.399023, 22.522262]
[111.526153, 36.094052]
[118.36299, 35.110531]
[124.362564, 40.00569]
[119.929503, 28.472979]
[87.623314, 43.832806]
[113.128432, 23.027707]
[115.471052, 38.880055]
[103.840692, 36.067312]
[109.846755, 40.663636]
[116.413554, 39.911013]
[109.126614, 21.486955]
[118.802891, 32.064735]
[108.373351, 22.823037]
[115.864528, 28.687675]
[120.900301, 31.985237]
[118.095915, 24.485821]
[121.426996, 28.662297]
[117.235447, 31.82687]
[111.758518, 40.847461]
[108.715712, 34.335599]
[126.542417, 45.807782]
[118.187036, 39.636673]
[120.762045, 30.750912]
[113.306446, 40.082539]
[121.621391, 38.919345]
[117.205914, 39.090908]
[112.55706, 37.876885]
[122.128245, 37.519322]
[121.556686, 29.880177]
[107.243899, 34.367747]
[118.282062, 33.967686]
[119.980142, 31.816791]
[113.270793, 23.135308]
[116.69034, 39.54352]
[109.496361, 36.591003]
[114.894165, 40.830172]
[117.29235, 34.210143]
[116.365825, 37.441313]
[114.423348, 23.116409]
[104.071216, 30.576279]
[119.419107, 32.39986]
[117.969798, 40.957855]
[91.121025, 29.650088]
[120.318954, 31.496704]
[119.533606, 35.422798]
[102.839667, 24.885953]
[120.161693, 30.280059]
[117.328513, 34.816569]
[109.42198, 24.331519],
[113.140431, 27.833737]
[114.311831, 30.598428]
[116.688739, 23.359289]
[113.088165, 22.584459]
[123.438973, 41.811339]
[116.845272, 38.31022]
[114.707097, 23.749829]
[118.682316, 24.880242]
[117.094893, 36.205905]
[119.932115, 32.4612]
[117.001319, 36.671627]
[116.593852, 35.420269]
[110.206424, 20.050057]
[118.061254, 36.819182]
[119.022429, 33.616272]
[114.066112, 22.548515]
[113.062619, 23.688238]
[120.705869, 28.001095]
[109.516739, 34.505687]
[120.094566, 30.899015]
[112.950575, 27.83585]
[117.9792, 37.388387]
[119.168138, 36.713212]
[121.454425, 37.469868]
[102.5537, 24.357512],
[113.583235, 22.276392]
[120.168187, 33.355301]
[122.077269, 41.125939]
[114.520828, 38.048684]
[119.302938, 26.080447]
[119.606184, 39.941259]
[120.586673, 30.036519]
[115.992077, 36.462681]
[112.47177, 23.052984]
[122.214339, 29.991092]
[120.589613, 31.304566]
[117.683221, 36.219357]
[115.487696, 35.239435]
[122.241475, 40.672565]
[120.843388, 40.717364]
[115.676942, 37.745166]
[118.880768, 28.941661]
[101.784269, 36.623477]
[108.946306, 34.347436]
[106.636816, 26.652747]
[119.229571, 34.602342]
[114.510889, 37.076646]
[114.545808, 36.631222]
[113.631349, 34.753488]
[109.787314, 39.61463]
[106.557165, 29.570997]
[119.654027, 29.084455]
[108.951558, 34.902957]
[106.238976, 38.492392]
[119.431494, 32.195688]
[125.33017, 43.82178]
[112.945333, 28.233971]
[113.123046, 36.201585]
[113.587087, 37.86234]
[120.389445, 36.072358]
[113.603757, 24.816174]
[116.007993, 29.711328]
[125.109727, 46.593216]
[119.554701, 26.671748]
[112.740804, 38.422382]
[106.39078, 38.989783]
[117.497839, 30.67098]
[117.006189, 32.631837]
[89.196029, 42.957303]
[111.292971, 30.697602]
[117.184967, 29.274337]
[117.070127, 30.548594]
[98.863189, 25.823736]
[122.845302, 45.6254]
[113.86077, 27.62897]
[116.364627, 27.953603]
[120.457301, 41.579487]
[102.003965, 36.406412]
[109.745507, 28.317399]
[117.075765, 28.265879]
[105.735357, 38.857806]
[130.304284, 47.356043]
[106.205161, 38.003863]
[86.085507, 44.312423]
[114.313904, 34.802941]
[129.515602, 42.897211]
[104.144182, 36.550821]
[111.148086, 37.525476]
[113.389071, 31.696341]
[103.04636, 30.021277]
[113.198935, 33.772051]
[121.676518, 42.027983]
[100.98114, 22.788486]
[109.518646, 18.258217]
[114.94126, 25.837179]
[105.849993, 32.441808]
[121.133631, 41.100869]
[106.117231, 30.843297]
[112.578397, 26.899517]
[123.924531, 47.360087]
[122.044544, 46.088444]
[106.80185, 39.660154]
[101.534082, 25.051226]
[128.84704, 47.733329]
[104.928233, 33.406825]
[112.205843, 31.041792]
[125.150107, 42.8943]
[110.008116, 27.575595]
[129.638976, 44.558647]
[102.021495, 35.526125]
[110.365494, 21.277163]
[105.731276, 34.587162]
[107.990602, 26.589858]
[112.051045, 22.921154]
[109.03592, 32.690575]
[88.956063, 29.26816]
[100.907395, 36.960702]
[97.377823, 37.382839]
[115.00027, 27.119751]
[115.045433, 30.205336]
[116.970454, 33.652034]
[110.931773, 21.669051]
[111.989051, 21.864421]
[114.099264, 32.153186]
[111.206832, 34.778442]
[114.328967, 29.847123]
[113.858804, 34.041737]
[99.168373, 25.117882],
[114.304044, 35.752656]
[111.013379, 35.032587]
[107.474504, 31.214347]
[111.704994, 29.037723]
[98.500427, 39.738615],
[118.512691, 31.67633],
[112.535009, 32.996701]
[111.474133, 27.245167]
[107.528663, 26.260586]
[113.922962, 30.930712]
[105.952622, 26.259904]
[123.243726, 41.274452]
[104.910858, 25.095974]
